number,name,address,bike_stands,available_bike_stands,last_update
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,7,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,17,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,7,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,7,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,8,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,4,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,4,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,4,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,4,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,1,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,1,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,0,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,2,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,2,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,2,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,2,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,3,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,3,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,3,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,5,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,6,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,9,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,10,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,11,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,12,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,15,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,17,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,13,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,14,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,16,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,17,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,18,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,19,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
2,BLESSINGTON STREET,Blessington Street,20,20,1470000000000
